EAN	Offer_id	Titel	"Günstigster Gesamtpreis neu"	"Günstigster Gesamtpreis gebraucht"	"Ihr Gesamtpreis"	"Differenz zu neu absolut"	"Differenz zu neu %"	"Differenz zu gebraucht absolut"	"Differenz zu gebraucht %"	"Zustand des Angebots"
4250314541768	30-96-WD-83	"MATEO 5-tlg. Garderobenkombination Weiß / Driftwood"	820,00	0,00	870,90	50,90	5,84	870,90	100,00	new
4250314516360	10-61-HW-20	"JAM Sideboard Kommode Schrank Anrichte Lowboard Regal"	468,00	0,00	473,90	5,90	1,24	473,90	100,00	new
5901730807394	83-750-07	"Couchtisch Laval Beistelltisch Wohnzimmertisch Tisch Eiche massiv oval 120cm"	259,00	0,00	308,90	49,90	16,15	308,90	100,00	new
5901730805932	83-661-17	"Couchtisch Fabian Beistelltisch Tisch Wohnzimmertisch weiß"	142,90	0,00	191,90	49,00	25,53	191,90	100,00	new
4250314547944	20-A1-MM-02	"Couchtisch FUN PLUS IIWohnzimmertisch Beistelltisch Tisch grau"	123,00	0,00	171,90	48,90	28,45	171,90	100,00	new
5901730809527	83-889-S8	"Couchtisch INDIA Wohnzimmertisch Beistelltisch Tisch Massivholz Akazie 110cm x 70cm"	240,00	0,00	288,90	48,90	16,93	288,90	100,00	new
4250314530779	10-D0-DD-20	"Kommode Sideboard groß BONANZA Esszimmer shabby vintage retro"	388,90	0,00	434,90	46,00	10,58	434,90	100,00	new
4250314543922	30-B1-UH-81	"JASMIN Garderobenkombination Pinie hell / Eiche"	549,00	0,00	594,90	45,90	7,72	594,90	100,00	new
5901730806342	83-694-D5	"83-694-D5 MOJITO Beton grau Nb. / weiß matt Bartisch Stehtisch Bistrotisch Küchentisch Anstelltisch ca. 115 x 103 x 50 cm"	94,94	0,00	139,90	44,96	32,14	139,90	100,00	new
4250314547012	20-H9-WH-03	"Sitzbank MEDIANA Bank Esszimmer Esstisch Polsterbank grau Eiche weiß 126 cm"	145,00	0,00	189,90	44,90	23,64	189,90	100,00	new
4250314547463	20-H9-GV-02	"Mediana Couchtisch Grau/Haveleiche Cognac"	164,00	0,00	208,90	44,90	21,49	208,90	100,00	new
