2021-04-19 | 07:33:53.959 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | start..runArticleEndOfLifeJob...at..2021-04-19T07:33:53.959
2021-04-19 | 07:33:55.127 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | end..runArticleEndOfLifeJob...at..2021-04-19T07:33:55.127
2021-04-19 | 07:33:55.127 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Job started to update Stock, Delivery Time and Preorder Information for all article and article Sets at --2021-04-19T07:33:55.127
2021-04-19 | 07:34:01.047 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Job ended to update Stock, Delivery Time and Preorder Information for all article and article Sets at---2021-04-19T07:34:01.047
2021-04-19 | 07:34:01.048 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Pushing Delivery time to Magento
2021-04-19 | 07:34:01.048 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | start..runMagentoDeliveryTimeUpdateForArticle...2021-04-19T07:34:01.048
2021-04-19 | 08:05:07.985 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | end..runMagentoDeliveryTimeUpdateForArticle...2021-04-19T08:05:07.985
2021-04-19 | 08:05:07.987 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | start..runMagentoDeliveryTimeUpdateForArticleSet...2021-04-19T08:05:07.987
2021-04-19 | 08:13:39.683 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | end..runMagentoDeliveryTimeUpdateForArticleSet...2021-04-19T08:13:39.683
2021-04-19 | 08:13:39.683 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Delivery time has been pushed to Magento at--2021-04-19T08:13:39.683
2021-04-19 | 08:13:39.683 | pool-10-thread-1     |  INFO | .m.a.c.CronDataExportJobs | start export jobs.....
2021-04-19 | 08:13:39.688 | pool-10-thread-1     |  INFO | .m.a.c.CronDataExportJobs | end export jobs.....
2021-04-19 | 08:13:39.689 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | start..runArticleEndOfLifeJob...at..2021-04-19T08:13:39.689
2021-04-19 | 08:13:40.880 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | end..runArticleEndOfLifeJob...at..2021-04-19T08:13:40.880
2021-04-19 | 08:13:40.881 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for article...2021-04-19T08:13:40.881
2021-04-19 | 08:35:54.509 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | start..FetchOrderJob...2021-04-19T08:35:54.509
2021-04-19 | 08:35:56.283 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | end..FetchOrderJob...2021-04-19T08:35:56.283
2021-04-19 | 08:35:56.284 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | start..ProcessOrderJob...2021-04-19T08:35:56.284
2021-04-19 | 08:35:56.287 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | end..ProcessOrderJob...2021-04-19T08:35:56.287
2021-04-19 | 08:35:56.287 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T08:35:56.287
2021-04-19 | 08:43:37.942 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | end..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T08:43:37.942
